Date,App,App Name,Platform,Earnings ($),Use Rate (%),eCPM ($),Fill Rate (%),Video Requests,Impressions,House Impressions,CVVs,House CVVs,Completion Rate (%),Total Clicks,AdColony Clicks,House Ad Clicks,Publisher Ad Source Clicks,CTR (%),AdColony CTR,Avg DAU,DAU,Avg MAU,MAU,DAU/MAU,Ad ARPDAU,Sessions,Avg Session Time,Live At Date
04/01/2017 - 04/19/2017,181944,Qatar Airways,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,181953,Air Sonar for Qatar Airways,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,181954,Air Sonar for Qatar Airways,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,181956,QR Cargo,android,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,181957,Pokémon GO,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,181961,Super Mario Run,android,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,181976,Word Cookies,android,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182027,AllConnect for Fire TV,amazon,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182104,Apple Store,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182122,Evil Apples: A Filthy Adult Card & Party Game,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182165,apple,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182189,iTunes U,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182258,iTunes U,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182260,iTunes U,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182263,iTunes U,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182265,iTunes U,android,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182274,Apple Music,android,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182276,YouTube Music,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182278,Just Dance Now,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182281,Rihanna Quizzle™,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182284,Madonna,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182379,You Think You Know Me?  Madonna Edition Trivia Quiz,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182380,You Think You Know Me?  Madonna Edition Trivia Quiz,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182381,You Think You Know Me?  Madonna Edition Trivia Quiz,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182383,Queen of Pop - Madonna Edition Music Quiz,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182384,Britney Spears: American Dream,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182385,Quiz - for Britney Spears fans,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182389,Gymnastics Game - Gymnastic & Dance for Girls,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182473,اجمل اغاني نانسي عجرم - Nancy Ajram,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182474,اجمل اغاني نانسي عجرم - Nancy Ajram,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182477,SoundCloud - Music & Audio,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182478,SoundCloud - Music & Audio,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182480,Saad Lamjarred 2016,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182482,Me for Ariana Grande,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182483,Sweet Like Candy by Ariana Grande Keyboard,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182488,You Think You Know Us?  Taylor Swift Edition Trivia Quiz,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182498,اجمل اغاني اليسا - Elissa MP3,ios,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2017 - 04/19/2017,182499,اجمل اغاني اليسا - Elissa MP3,ios,,,,,,,,,,,,,,,,,,,,,,,,,
